iteration,loss,entropy,lambda_0,lambda_1,lambda_2,lambda_3
1,4.6051701859880920,4.6051701859880820,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
2,4.6051701859880920,4.6051701859880820,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
3,4.6051701859880920,4.6051701859880820,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
5,4.6051701859880920,4.6051701859880820,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
10,4.6051701859880920,4.6051701859880820,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
20,4.6051701859880920,4.6051701859880820,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
50,4.6051701859880920,4.6051701859880820,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
100,4.6051701859880920,4.6051701859880820,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
200,4.6051701859880920,4.6051701859880820,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
500,4.6051701859880920,4.6051701859880820,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
